n,s,time_in_milliseconds
4096,64,118
4096,64,118
4096,64,127
4096,64,158
4096,64,126
4096,64,132
4096,64,174
4096,64,120
4096,64,118
4096,64,121
4096,64,119
4096,64,120
4096,64,115
4096,64,117
4096,64,148
4096,64,116
4096,64,117
4096,64,156
4096,64,221
4096,64,143
4096,64,145
4096,64,124
4096,64,139
4096,64,173
4096,64,121
4096,64,128
4096,64,116
4096,64,121
4096,64,123
4096,64,116
4096,64,149
4096,64,134
4096,64,116
4096,64,121
4096,64,122
4096,64,138
4096,64,126
4096,64,123
4096,64,149
4096,64,133
4096,64,121
4096,64,131
4096,64,139
4096,64,159
4096,64,141
4096,64,533
4096,64,791
4096,64,136
4096,64,121
4096,64,180
4096,64,122
4096,64,127
4096,64,130
4096,64,136
4096,64,169
4096,64,122
4096,64,188
4096,64,183
4096,64,230
4096,64,129
4096,64,210
4096,64,130
4096,64,118
4096,64,131
4096,64,233
4096,64,202
4096,64,134
4096,64,179
4096,64,147
4096,64,122
4096,64,239
4096,64,162
4096,64,165
4096,64,148
4096,64,127
4096,64,126
4096,64,117
4096,64,129
4096,64,125
4096,64,378
4096,64,121
4096,128,133
4096,128,137
4096,128,158
4096,128,143
4096,128,137
4096,128,131
4096,128,125
4096,128,127
4096,128,125
4096,128,134
4096,128,131
4096,128,132
4096,128,204
4096,128,138
4096,128,140
4096,128,129
4096,128,126
4096,128,128
4096,128,133
4096,128,161
4096,128,127
4096,128,174
4096,128,176
4096,128,153
4096,128,144
4096,128,141
4096,128,220
4096,128,127
4096,128,126
4096,128,141
4096,128,128
4096,128,135
4096,128,125
4096,128,136
4096,128,130
4096,128,125
4096,128,137
4096,128,124
4096,128,194
4096,128,131
4096,128,162
4096,128,160
4096,128,143
4096,128,145
4096,128,135
4096,128,152
4096,128,126
4096,128,134
4096,128,129
4096,128,124
4096,128,125
4096,128,128
4096,128,139
4096,128,130
4096,128,126
4096,128,155
4096,128,149
4096,128,229
4096,128,150
4096,128,250
4096,128,154
4096,128,140
4096,128,126
4096,128,360
